#,Name,Origin,Format,Comments
001,RPL_WELCOME,RFC2812,<client> :Welcome to the Internet Relay Network <nick>!<user>@<host>,The first message sent after client registration. The text used varies widely
002,RPL_YOURHOST,RFC2812,"<client> :Your host is <servername>, running version <version>",Part of the post-registration greeting. Text varies widely. Also known as RPL_YOURHOSTIS (InspIRCd v2)
003,RPL_CREATED,RFC2812,<client> :This server was created <date>,Part of the post-registration greeting. Text varies widely and <date> is returned in a human-readable format. Also known as RPL_SERVERCREATED (InspIRCd v2)
004,RPL_MYINFO,RFC2812,<client> <server_name> <version> <usermodes> <chanmodes> [chanmodes_with_a_parameter],Part of the post-registration greeting. Also known as RPL_SERVERVERSION (InspIRCd v2)
005,RPL_BOUNCE,RFC2812,"<client> :Try server <server_name>, port <port_number>","Sent by the server to a user to suggest an alternative server, sometimes used when the connection is refused because the server is already full. Also known as RPL_SLINE (AustHex), and RPL_REDIRAlso seeRPL_BOUNCE (010)."
005,RPL_ISUPPORT,,<client> <1-13 tokens> :are supported by this server,"Advertises features, limits, and protocol options that clients should be aware of. Also known as RPL_PROTOCTL (Bahamut, Unreal, Ultimate)Also seeRPL_REMOTEISUPPORT (105)."
006,RPL_MAP,Unreal,,
007,RPL_MAPEND,Unreal,,Also known as RPL_ENDMAP (InspIRCd)
008,RPL_SNOMASK,ircu,,Server notice mask (hex). Also known as RPL_SNOMASKIS (InspIRCd)
009,RPL_STATMEMTOT,ircu,,
010,RPL_BOUNCE,,<client> <hostname> <port> :<info>,Sent to the client to redirect it to another server. Also known as RPL_REDIR
010,RPL_STATMEM,ircu,,
014,RPL_YOURCOOKIE,Hybrid?,,
015,RPL_MAP,ircu,,
016,RPL_MAPMORE,ircu,,
017,RPL_MAPEND,ircu,,Also known as RPL_ENDMAP (InspIRCd)
018,RPL_MAPUSERS,InspIRCd,"<client> :<count> servers and <count> users, average <average count> users per server",
020,RPL_HELLO,rusnet-ircd,<client> :<info>,"Used by Rusnet to send the initial ""Please wait while we process your connection"" message, rather than a server-sent NOTICE."
030,RPL_APASSWARN_SET,ircu,,
031,RPL_APASSWARN_SECRET,ircu,,
032,RPL_APASSWARN_CLEAR,ircu,,
042,RPL_YOURID,IRCnet,,Also known as RPL_YOURUUID (InspIRCd)
043,RPL_SAVENICK,IRCnet,<client> <newnick> :<info>,Sent to the client when their nickname was forced to change due to a collision
050,RPL_ATTEMPTINGJUNC,aircd,,
051,RPL_ATTEMPTINGREROUTE,aircd,,
105,RPL_REMOTEISUPPORT,Unreal,,"Same format as RPL_ISUPPORT, but returned when the client is requesting information from a remote server instead of the server it is currently connected toAlso seeRPL_ISUPPORT (005)."
200,RPL_TRACELINK,RFC1459,<client> Link <version>[.<debug_level>] <destination> <next_server> [V<protocol_version> <link_uptime_in_seconds> <backstream_sendq> <upstream_sendq>],See RFC
201,RPL_TRACECONNECTING,RFC1459,<client> Try. <class> <server>,See RFC
202,RPL_TRACEHANDSHAKE,RFC1459,<client> H.S. <class> <server>,See RFC
203,RPL_TRACEUNKNOWN,RFC1459,<client> ???? <class> [<connection_address>],See RFC
204,RPL_TRACEOPERATOR,RFC1459,<client> Oper <class> <nick>,See RFC
205,RPL_TRACEUSER,RFC1459,<client> User <class> <nick>,See RFC
206,RPL_TRACESERVER,RFC1459,<client> Serv <class> <int>S <int>C <server> <nick!user|*!*>@<host|server> [V<protocol_version>],See RFC
207,RPL_TRACESERVICE,RFC2812,<client> Service <class> <name> <type> <active_type>,See RFC
208,RPL_TRACENEWTYPE,RFC1459,<client> <newtype> 0 <client_name>,See RFC
209,RPL_TRACECLASS,RFC2812,<client> Class <class> <count>,See RFC
210,RPL_TRACERECONNECT,RFC2812,,
210,RPL_STATS,aircd,,Used instead of having multiple stats numerics
210,RPL_STATSHELP,Unreal,,Used to send lists of stats flags and other help information.
211,RPL_STATSLINKINFO,RFC1459,<client> <linkname> <sendq> <sent_msgs> <sent_bytes> <recvd_msgs> <rcvd_bytes> <time_open>,Reply to STATS (See RFC)
212,RPL_STATSCOMMANDS,RFC1459,<client> <command> <count> [<byte_count> <remote_count>],Reply to STATS (See RFC)
213,RPL_STATSCLINE,RFC1459,<client> C <host> * <name> <port> <class>,Reply to STATS (See RFC)
214,RPL_STATSNLINE,RFC1459,<client> N <host> * <name> <port> <class>,"Reply to STATS (See RFC), Also known as RPL_STATSOLDNLINE (ircu, Unreal)"
215,RPL_STATSILINE,RFC1459,<client> I <host> * <host> <port> <class>,Reply to STATS (See RFC)
216,RPL_STATSKLINE,RFC1459,<client> K <host> * <username> <port> <class>,Reply to STATS (See RFC)
217,RPL_STATSQLINE,RFC1459,,
217,RPL_STATSPLINE,ircu,,
218,RPL_STATSYLINE,RFC1459,<client> Y <class> <ping_freq> <connect_freq> <max_sendq>,Reply to STATS (See RFC)
219,RPL_ENDOFSTATS,RFC1459,<client> <query> :<info>,End of RPL_STATS* list.
220,RPL_STATSPLINE,Hybrid,,
220,RPL_STATSBLINE,"Bahamut, Unreal",,
220,RPL_STATSWLINE,Nefarious,,
221,RPL_UMODEIS,RFC1459,<client> <user_modes> [<user_mode_params>],Information about a user's own modes. Some daemons have extended the mode command and certain modes take parameters (like channel modes).
222,RPL_MODLIST,,,
222,RPL_SQLINE_NICK,Unreal,,
222,RPL_STATSBLINE,Bahamut,,
222,RPL_STATSJLINE,ircu,,
222,RPL_CODEPAGE,rusnet-ircd,,
223,RPL_STATSELINE,Bahamut,,
223,RPL_STATSGLINE,Unreal,,
223,RPL_CHARSET,rusnet-ircd,,
224,RPL_STATSFLINE,"Hybrid, Bahamut",,
224,RPL_STATSTLINE,Unreal,,
225,RPL_STATSDLINE,Hybrid,,
225,RPL_STATSCLONE,Bahamut,,
225,RPL_STATSZLINE,Bahamut,,
225,RPL_STATSELINE,Unreal,,
226,RPL_STATSCOUNT,Bahamut,,
226,RPL_STATSALINE,Hybrid,,
226,RPL_STATSNLINE,Unreal,,
227,RPL_STATSGLINE,Bahamut,,
227,RPL_STATSVLINE,Unreal,,
227,RPL_STATSBLINE,Rizon,,Returns details about active DNS blacklists and hits.
228,RPL_STATSQLINE,ircu,,
228,RPL_STATSBANVER,Unreal,,
229,RPL_STATSSPAMF,Unreal,,
230,RPL_STATSEXCEPTTKL,Unreal,,
231,RPL_SERVICEINFO,RFC1459,,
232,RPL_ENDOFSERVICES,RFC1459,,
232,RPL_RULES,Unreal,,
